title,description
Super Madi HEP,44.00 MW
Upper Marsyandi HPP,150 MW
Isuwa Khola Hydropower Project,97.20 MW
Mewa Khola HEP,50.00 MW
Super Dordi HEP,54.00 MW
Marsyangdi Nadi PRoR HPP,99.8 MW
Feasibility study of Hydro Power,We offer All kind of Feasibility ranging for technical feasibilty all the way to legal and economical feasibility
Project Development Assistance,We offer All kind of Feasibility ranging for technical feasibilty all the way to legal and economical feasibility
Detailed Design And SuperVision,We offer All kind of Feasibility ranging for technical feasibilty all the way to legal and economical feasibility
Geo Technical Investigation,We offer All kind of Feasibility ranging for technical feasibilty all the way to legal and economical feasibility
