Features ,,Description ,Remarks 
Project Name ,: ,Seti Khola Hydropower Project,
Project Type ,: ,RoR,
Developer ,: ,Seti Khola Hydropower Pvt Ltd,
Location ,: ,"Pokhara Metropolitancity-33, Kaski",
Design Discharge ,:,39.93 m3/s with 10% CoL,
Gross Head ,:,68.5 m,
Installed Capacity ,:,22 MW,
Annual Deemed Energy ,:,133.432 GWh,
Weir Length and Height,:,"30 m length, 12 m height",Barrage
Intake (B x H),:,4 orifices each 5.75 m x 2.8 m ,
"Desander (Nos, L x B X H)",:,2; 64 m x 13 m x 6 m,Surface 
Headrace Alignment,: ,"3151 m, 5.8 diameter",Tunnel
Penstock,: ,"1500 m, 4 m diameter ",Pipe
Powerhouse ,: ,2 Units of Fransis Turbine ,
Transmission Line ,: ,"3 km length 132 kV, 132 kv Loop in Loop out",
